Site,SpeciesCode,Abundance,IND_BIOM
KH,leiahawa,1,0.4289
KH,cissign,1,0.173
KH,protspu2,1,0.369
KH,protspu1,1,0.486
KH,protspu2,1,0.369
KH,kuwaspu3,1,0.0982
KH,kuwaspu4,1,0.0123
KH,kuwaspu3,1,0.0123
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,pseuskh1,1,1.3142
KH,nabiosci,1,0.0495
KH,plaghosp,1,0.0139
KH,plaghosp,1,0.0139
KH,opisnigr,1,0.0725
KH,sierspuN,1,0.0139
KH,sierspuO,1,0.0725
KH,opistars,1,0.0725
KH,sierspuO,1,0.0725
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,euryarge,1,0.2584
KH,euryarge,1,0.2584
KH,hypemagn,1,0.0153
KH,hypemagn,1,0.0153
KH,ctenhawa,1,0.091
KH,ctenhawa,1,0.091
KH,ctenhawa,1,0.091
KH,ctenhawa,1,0.091
KH,dicrhawa,1,2.2861
KH,dicrhawa,1,2.2861
KH,asteapic,1,0.091
KH,scapbrya,1,0.091
KH,eupespre,1,0.379
KH,baltsimi,1,2.1425
KH,lepiagsu,1,0.7458
KH,lepiagsu,1,0.7458
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,forchard,1,0.091
KH,sylvcinc,1,0.9618
KH,orthwill,1,0.091
KH,orthwill,1,0.091
KH,asteapic,1,0.091
KH,asteapic,1,0.091
KH,scapnuni,1,0.091
KH,drosmedi,1,0.2584
KH,ctenhawa,1,0.091
KH,hypemagn,1,0.091
KH,hypemagn,1,0.091
KH,hypemagn,1,0.091
KH,hypemagn,1,0.091
KH,hypemagn,1,0.091
KH,hypemagn,1,0.091
KH,hypemagn,1,0.091
KH,hypemagn,1,0.091
KH,lycohoyt,1,0.091
KH,enicmolo,1,3.357
KH,eupemsu1,1,0.0139
KH,pauaswez,1,0.0139
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,oceavulc,1,0.6562
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,orthmetr,1,0.1594
KH,saroadon,1,0.1594
KH,saroadon,1,0.1594
KH,saroadon,1,0.1594
KH,orthkana,1,0.7949
KH,saroadon,1,0.7949
KH,kuwaspu3,1,0.0982
KH,kuwaspu3,1,0.0982
KH,kuwanigr,1,0.0123
KH,kuwanigr,1,0.0123
KH,triospu2,1,0.0123
KH,triospu6,1,0.0123
KH,cissign,1,0.173
KH,asyngodm,1,7.876
KH,protspu1,1,0.486
KH,protspu1,1,0.486
KH,protspu2,1,0.369
KH,protspu1,1,0.486
KH,protspu1,1,0.486
KH,protspu1,1,0.486
KH,eupespre,1,0.379
KH,eupespre,1,0.379
KH,lepiagsu,1,0.4446
KH,lepiagsu,1,0.4446
KH,pyrajs17,1,1.5581
KH,tetrquas,1,0.1971
KH,tetrquas,1,0.1971
KH,kuwanigr,1,0.0982
KH,kuwaspu3,1,0.0982
KH,kuwaspu3,1,0.0982
KH,kuwaspu3,1,0.0982
KH,triospu2,1,0.0982
KH,kuwaspu4,1,0.0123
KH,orthmetr,1,0.1594
